premise_1,premise_2,premise_3,conclusion,human_rating
cow,"NA","NA",horse,0.5972
chimp,"NA","NA",horse,0.3125
mouse,"NA","NA",horse,0.2847
dolphin,"NA","NA",horse,0.25
elephant,"NA","NA",horse,0.4653
cow,cow,cow,horse,0.4444
chimp,chimp,chimp,horse,0.25
mouse,mouse,mouse,horse,0.2431
dolphin,dolphin,dolphin,horse,0.1736
elephant,elephant,elephant,horse,0.2917
cow,horse,cow,horse,0.9375
chimp,gorilla,chimp,horse,0.2986
mouse,squirrel,mouse,horse,0.2639
dolphin,seal,dolphin,horse,0.2083
elephant,rhino,elephant,horse,0.4306
cow,gorilla,"NA",horse,0.6597
chimp,squirrel,"NA",horse,0.4931
mouse,seal,"NA",horse,0.5139
dolphin,rhino,"NA",horse,0.5833
elephant,cow,"NA",horse,0.6528
cow,chimp,mouse,horse,0.7431
chimp,mouse,dolphin,horse,0.6042
mouse,dolphin,elephant,horse,0.6875
cow,elephant,gorilla,horse,0.7153
chimp,gorilla,mouse,horse,0.5625
mouse,squirrel,rhino,horse,0.6042
dolphin,seal,squirrel,horse,0.4931
elephant,rhino,seal,horse,0.5972
